BOAT 663381 224128 0 0 14000 10 4 30 255 153 153 "Bjarni Sæmundsson"
STAT 670 15 0 663400 204281 663010 204201 532 31  #   \\ botndypi_kastad= 327 botndypi_hift= 295 \\
STAT 621 1 0 663041 210090 662698 210592 198 20  #   \\ botndypi_kastad= 183 botndypi_hift= 166 \\
STAT 621 4 0 662032 212054 662390 212484 548 14  #   \\ botndypi_kastad= 110 botndypi_hift= 107 \\
STAT 621 2 0 662463 211585 662828 211987 677 20  #   \\ botndypi_kastad= 173 botndypi_hift= 182 \\
STAT 624 5 0 660810 241262 660421 241466 1699 10  #   \\ botndypi_kastad= 62 botndypi_hift= 49 \\
WAYP 663000 225940 1 
WAYP 662975 222760 1 
WAYP 661966 232842 1 
WAYP 660795 230409 1 
WAYP 661366 185359 1 
WAYP 660501 192476 1 
WAYP 660934 200733 1 
WAYP 660501 202938 1 
WAYP 654127 204535 1 
WAYP 654567 180760 1 
WAYP 655162 180912 1 
WAYP 660004 182318 1 
WAYP 660949 182318 1 
WAYP 661258 181216 1 
WAYP 660128 211385 1 
WAYP 661304 171514 1 
WAYP 654013 242877 1 
WAYP 652968 244133 1 
WAYP 652913 210537 1 
WAYP 645667 235329 1 
WAYP 653122 133096 1 
WAYP 651917 133465 1 
WAYP 632048 184139 1 
WAYP 644653 241156 1 
WAYP 634583 224736 1 
WAYP 640764 225002 1 
WAYP 640731 224090 1 
